platform
PC
Android
iOS
Mac
PS1
PS2
PS3
PS4
PS5
Switch
Stadia
Xbox
Xbox360
XboxOne
XboxOneS
XboxSeriesS
XboxSeriesX
N64
WiiVC
WiiUVC
